,Campaign status,Campaign,Budget name,Currency code,Budget,Budget type,Status,Status reasons,Clicks,CTR,Avg. CPC,Impr.,Avg. cost,Cost,Campaign type,Bid strategy type,Campaign group,Original Conv Value,Predicted Conv Value 1,Predicted Conv Value 2
1996,1,110,0,0,2.0,0,4,6,51,0.015,0.35,3409,0.35,17.88,3,7,0,0.0,38.62744338933529,91.82370967741937
1997,1,110,0,0,2.0,0,4,6,23,0.0101,0.22,2278,0.22,5.04,3,7,0,0.0,38.62744338933529,50.214585987261124
1998,1,65,0,0,3.0,0,4,5,0,0.0,0.0,4,0.0,0.0,1,3,0,0.0,0.23117200915855754,0.017456630531522195
1999,1,65,0,0,3.0,0,4,5,0,0.0,0.0,61,0.0,0.0,1,3,0,0.0,0.23117200915855754,0.017456630531522195
2000,1,110,0,0,2.0,0,4,6,3,0.0166,0.12,181,0.12,0.37,3,7,0,0.0,0.23117200915855754,0.017456630531522195
2001,1,110,0,0,2.0,0,4,6,32,0.0078000000000000005,0.12,4077,0.12,3.76,3,7,0,0.0,38.62744338933529,50.214585987261124
2002,1,5,0,0,2.0,0,4,6,0,0.0,0.0,7,0.0,0.0,3,7,0,0.0,0.23117200915855754,0.017456630531522195
2003,1,53,0,0,1.0,0,4,6,1,0.02,0.7,50,0.7,0.7,3,0,0,0.0,0.23117200915855754,0.017456630531522195
2004,1,5,0,0,2.0,0,4,6,0,0.0,0.0,14,0.0,0.0,3,7,0,0.0,0.23117200915855754,0.017456630531522195
2005,1,138,0,0,5.0,0,4,6,7,0.0096,0.18,727,0.18,1.23,3,0,0,0.0,0.23117200915855754,14.74322884012539
2006,1,5,0,0,2.0,0,4,6,3,0.0319,0.47,94,0.47,1.41,3,7,0,0.0,0.23117200915855754,7.421476355247985
2007,1,138,0,0,5.0,0,4,6,15,0.0124,0.23,1210,0.23,3.47,3,0,0,0.0,38.62744338933529,19.66085314685316
2008,1,153,0,0,1.0,0,4,6,7,0.0063,0.23,1108,0.23,1.62,3,1,0,0.0,0.23117200915855754,7.421476355247985
2009,1,31,0,0,5.0,0,4,6,12,0.005699999999999999,0.5,2089,0.2,5.94,1,2,0,0.0,38.62744338933529,50.214585987261124
2010,1,42,0,0,2.0,0,4,6,0,0.0,0.0,33,0.0,0.0,1,3,0,0.0,0.23117200915855754,0.017456630531522195
2011,1,42,0,0,2.0,0,4,6,1,0.0034000000000000002,0.14,290,0.14,0.14,1,3,0,0.0,0.23117200915855754,0.017456630531522195
2012,1,42,0,0,2.0,0,4,6,1,0.0105,0.2,95,0.2,0.2,1,3,0,0.0,0.23117200915855754,0.017456630531522195
2013,1,42,0,0,2.0,0,4,6,0,0.0,0.0,104,0.0,0.0,1,3,0,0.0,0.23117200915855754,0.017456630531522195
2014,1,54,0,0,5.0,0,4,6,6,0.0084,0.19,717,0.19,1.14,3,0,0,10.68,0.23117200915855754,14.74322884012539
2015,0,122,0,0,2.0,0,3,1,0,0.0,0.0,4,0.0,0.0,3,7,0,0.0,0.23117200915855754,0.017456630531522195
2016,0,107,0,0,5.0,0,0,15,8,0.0127,0.75,628,0.75,5.98,1,2,7,59.5,38.62744338933529,19.66085314685316
2017,0,107,0,0,5.0,0,0,15,7,0.0149,0.2,471,0.2,1.4,1,2,7,0.0,0.23117200915855754,14.74322884012539
2018,0,107,0,0,5.0,0,0,15,31,0.0111,0.31,2803,0.31,9.69,1,2,7,0.0,38.62744338933529,48.014200542005376
2019,0,38,0,0,2.0,0,0,15,12,0.0091,0.37,1325,0.37,4.46,1,2,4,0.0,38.62744338933529,19.66085314685316
2020,1,56,0,0,3.0,0,4,6,11,0.0113,0.24,971,0.24,2.64,3,7,0,0.0,0.23117200915855754,7.421476355247985
2021,1,56,0,0,3.0,0,4,6,3,0.0103,0.11,291,0.11,0.34,3,7,0,0.0,0.23117200915855754,0.017456630531522195
2022,1,56,0,0,3.0,0,4,6,4,0.0179,0.16,224,0.16,0.63,3,7,0,0.0,0.23117200915855754,0.017456630531522195
2023,1,56,0,0,3.0,0,4,6,0,0.0,0.0,309,0.0,0.0,3,7,0,0.0,0.23117200915855754,0.017456630531522195
2024,1,56,0,0,3.0,0,4,6,6,0.0068000000000000005,0.15,887,0.15,0.91,3,7,0,0.0,0.23117200915855754,7.421476355247985
2025,1,56,0,0,3.0,0,4,6,0,0.0,0.0,532,0.0,0.0,3,7,0,0.0,0.23117200915855754,0.017456630531522195
2026,1,56,0,0,3.0,0,4,6,29,0.013999999999999999,0.24,2069,0.24,6.9,3,7,0,26.2,38.62744338933529,19.66085314685316
2027,0,79,0,0,20.0,0,0,15,6,0.0118,0.3,508,0.3,1.77,1,3,0,0.0,0.23117200915855754,14.74322884012539
2028,2,26,0,0,15.0,0,5,12,0,0.0,0.0,27,0.0,0.0,3,7,0,0.0,0.23117200915855754,0.017456630531522195
2029,0,79,0,0,20.0,0,0,15,2,0.003,0.54,656,0.54,1.07,1,3,0,0.0,0.23117200915855754,14.74322884012539
2030,0,79,0,0,20.0,0,0,15,9,0.013600000000000001,0.53,662,0.53,4.73,1,3,0,0.0,38.62744338933529,19.66085314685316
2031,0,79,0,0,20.0,0,0,15,2,0.0053,0.46,380,0.08,0.91,1,3,0,0.0,0.23117200915855754,14.74322884012539
2032,2,26,0,0,15.0,0,5,12,1,0.0040999999999999995,0.22,246,0.22,0.22,3,7,0,0.0,0.23117200915855754,0.017456630531522195
2033,0,79,0,0,20.0,0,0,15,16,0.0151,0.48,1063,0.48,7.68,1,3,0,150.01,38.62744338933529,91.82370967741937
2034,2,20,0,0,0.05,0,5,12,1,0.0012,0.07,829,0.07,0.07,0,2,0,0.0,0.23117200915855754,0.017456630531522195
2035,2,20,0,0,0.05,0,5,12,1,0.0313,0.05,32,0.05,0.05,0,2,0,0.0,0.23117200915855754,0.017456630531522195
2036,1,135,0,0,0.5,0,4,6,3,0.0066,0.29,454,0.29,0.86,3,7,0,20.99,0.23117200915855754,52.06714285714286
2037,2,35,0,0,1.0,0,5,12,5,0.005699999999999999,0.32,879,0.23,1.61,1,2,0,0.0,0.23117200915855754,7.421476355247985
2038,1,135,0,0,0.5,0,4,6,7,0.0131,0.26,534,0.26,1.82,3,7,0,0.0,0.23117200915855754,7.421476355247985
2039,2,35,0,0,1.0,0,5,12,3,0.0029,0.72,1038,0.13,2.15,1,2,0,0.0,0.23117200915855754,7.421476355247985
2040,2,103,0,0,20.0,0,5,12,10,0.0302,0.48,331,0.48,4.8,1,2,0,0.0,38.62744338933529,19.66085314685316
2041,1,124,0,0,3.0,0,4,3,0,0.0,0.0,18,0.0,0.0,3,7,0,0.0,0.23117200915855754,0.017456630531522195
2042,0,24,0,0,6.0,0,0,15,16,0.006999999999999999,0.33,2298,0.33,5.32,1,2,2,59.71,38.62744338933529,19.66085314685316
2043,1,11,0,0,5.0,0,4,6,5,0.0043,0.34,1156,0.34,1.68,3,7,0,0.0,0.23117200915855754,14.74322884012539
2044,1,11,0,0,5.0,0,4,6,9,0.0098,0.19,918,0.19,1.75,3,7,0,40.46,0.23117200915855754,14.74322884012539
2045,1,11,0,0,5.0,0,4,6,1,0.004699999999999999,0.57,214,0.57,0.57,3,7,0,0.0,0.23117200915855754,0.017456630531522195
2046,2,59,0,0,25.0,0,5,11,1,0.0152,0.09,66,0.09,0.09,1,3,0,0.0,0.23117200915855754,0.017456630531522195
2047,1,11,0,0,5.0,0,4,6,2,0.0323,1.0,62,1.0,2.0,3,7,0,0.0,0.23117200915855754,14.74322884012539
2048,1,11,0,0,5.0,0,4,6,7,0.0088,0.16,791,0.16,1.12,3,7,0,28.47,0.23117200915855754,14.74322884012539
2049,1,11,0,0,5.0,0,4,6,7,0.0131,0.2,535,0.2,1.37,3,7,0,0.0,0.23117200915855754,14.74322884012539
2050,1,11,0,0,5.0,0,4,6,3,0.0051,0.43,585,0.43,1.3,3,7,0,0.0,0.23117200915855754,14.74322884012539
2051,2,155,0,0,5.0,0,5,12,0,0.0,0.0,1,0.0,0.0,3,7,0,0.0,0.23117200915855754,0.017456630531522195
2052,2,155,0,0,5.0,0,5,12,5,0.0168,0.54,297,0.54,2.72,3,7,0,0.0,0.23117200915855754,14.74322884012539
2053,1,40,0,0,0.1,0,4,6,1,0.0667,0.06,15,0.06,0.06,3,0,0,0.0,0.23117200915855754,0.017456630531522195
2054,1,40,0,0,0.1,0,4,6,2,0.0253,0.28,79,0.28,0.55,3,0,0,0.0,0.23117200915855754,0.017456630531522195
2055,1,63,0,0,1.0,0,4,5,9,0.0075,0.59,1205,0.59,5.33,1,3,0,0.0,38.62744338933529,19.66085314685316
2056,1,40,0,0,0.1,0,4,6,2,0.0085,0.2,235,0.2,0.4,3,0,0,0.0,0.23117200915855754,0.017456630531522195
2057,0,60,0,0,6.0,0,0,15,4,0.3333,0.03,12,0.03,0.1,1,2,7,0.0,0.23117200915855754,8.667011494252874
2058,1,74,0,0,0.05,0,4,5,1,0.0526,0.04,19,0.04,0.04,1,2,0,0.0,0.23117200915855754,0.017456630531522195
2059,1,92,0,0,1.0,0,4,6,4,0.0678,0.76,59,0.76,3.02,2,3,0,0.0,0.23117200915855754,7.421476355247985
2060,1,92,0,0,1.0,0,4,6,4,0.5714,0.06,7,0.06,0.23,2,3,0,0.0,0.23117200915855754,8.667011494252874
2061,1,128,0,0,2.0,0,4,6,5,0.0085,0.41,591,0.41,2.04,3,7,0,0.0,0.23117200915855754,7.421476355247985
2062,1,128,0,0,2.0,0,4,6,2,0.0049,0.25,406,0.25,0.5,3,7,0,0.0,0.23117200915855754,0.017456630531522195
2063,1,128,0,0,2.0,0,4,6,0,0.0,0.0,173,0.0,0.0,3,7,0,0.0,0.23117200915855754,0.017456630531522195
2064,1,92,0,0,1.0,0,4,6,6,0.5,0.02,12,0.02,0.13,2,3,0,0.0,0.23117200915855754,8.667011494252874
2065,1,55,0,0,3.0,0,4,6,25,0.0096,0.26,2594,0.26,6.49,3,7,0,20.26,38.62744338933529,19.66085314685316
2066,1,55,0,0,3.0,0,4,6,3,0.0037,0.48,808,0.48,1.44,3,7,0,0.0,0.23117200915855754,7.421476355247985
2067,1,55,0,0,3.0,0,4,6,7,0.015700000000000002,0.51,447,0.51,3.59,3,7,0,32.67,38.62744338933529,19.66085314685316
2068,1,55,0,0,3.0,0,4,6,12,0.015,0.28,802,0.28,3.3,3,7,0,43.87,38.62744338933529,21.935
2069,1,55,0,0,3.0,0,4,6,9,0.013300000000000001,0.13,677,0.13,1.15,3,7,0,33.12,0.23117200915855754,7.421476355247985
2070,1,55,0,0,3.0,0,4,6,5,0.0158,0.25,316,0.25,1.27,3,7,0,0.0,0.23117200915855754,7.421476355247985
2071,0,102,0,0,30.0,0,2,13,197,0.009399999999999999,0.37,20865,0.35,71.99,1,2,0,181.07,219.9967875647666,222.84756906077342
2072,0,102,0,0,30.0,0,2,13,87,0.0111,0.37,7809,0.37,32.41,1,2,0,101.52,219.9967875647666,148.59815217391312
2073,0,102,0,0,30.0,0,2,13,160,0.012,0.36,13343,0.36,57.83,1,2,0,28.9,219.9967875647666,222.84756906077342
2074,0,102,0,0,30.0,0,2,13,121,0.0095,0.37,12764,0.37,45.17,1,2,0,119.89,219.9967875647666,222.84756906077342
2075,0,102,0,0,30.0,0,2,13,135,0.0105,0.21,12844,0.21,28.16,1,2,0,225.53,219.9967875647666,222.84756906077342
2076,0,102,0,0,30.0,0,2,13,70,0.0096,0.32,7261,0.32,22.22,1,2,0,118.14,219.9967875647666,88.10976190476188
2077,0,102,0,0,30.0,0,2,13,142,0.0095,0.31,14913,0.31,43.82,1,2,0,89.22,219.9967875647666,222.84756906077342
2078,0,102,0,0,30.0,0,2,13,75,0.0108,0.36,6938,0.36,26.78,1,2,0,21.47,219.9967875647666,88.10976190476188
2079,0,102,0,0,30.0,0,2,13,114,0.012199999999999999,0.28,9380,0.28,31.84,1,2,0,136.9,219.9967875647666,222.84756906077342
2080,0,102,0,0,30.0,0,2,13,34,0.0137,0.57,2473,0.57,19.27,1,2,0,109.96,38.62744338933529,48.014200542005376
2081,1,131,0,0,2.0,0,4,6,6,0.0074,0.26,815,0.26,1.53,3,0,0,0.0,0.23117200915855754,7.421476355247985
2082,0,102,0,0,30.0,0,2,13,107,0.0085,0.31,12581,0.31,32.76,1,2,0,173.37,219.9967875647666,222.84756906077342
2083,0,102,0,0,30.0,0,2,13,58,0.0097,0.31,5952,0.31,17.95,1,2,0,97.82,38.62744338933529,48.014200542005376
2084,1,131,0,0,2.0,0,4,6,14,0.0096,0.26,1465,0.26,3.63,3,0,0,0.0,38.62744338933529,19.66085314685316
2085,0,102,0,0,30.0,0,2,13,94,0.0092,0.36,10206,0.36,34.15,1,2,0,35.71,219.9967875647666,148.59815217391312
2086,0,102,0,0,30.0,0,2,13,83,0.0098,0.45,8455,0.45,36.97,1,2,0,84.82,219.9967875647666,148.59815217391312
2087,0,102,0,0,30.0,0,2,13,179,0.009300000000000001,0.26,19187,0.26,47.31,1,2,0,264.73,219.9967875647666,222.84756906077342
2088,0,102,0,0,30.0,0,2,13,66,0.011699999999999999,0.51,5649,0.51,33.48,1,2,0,97.28,219.9967875647666,88.10976190476188
2089,0,102,0,0,30.0,0,2,13,137,0.0079,0.3,17318,0.3,41.0,1,2,0,148.54,219.9967875647666,222.84756906077342
2090,0,102,0,0,30.0,0,2,13,144,0.0128,0.28,11234,0.28,40.6,1,2,0,286.75,219.9967875647666,222.84756906077342
2091,1,150,0,0,2.0,0,4,6,0,0.0,0.0,16,0.0,0.0,1,2,0,0.0,0.23117200915855754,0.017456630531522195
2092,1,150,0,0,2.0,0,4,6,4,0.0086,0.69,466,0.28,2.76,1,2,0,0.0,0.23117200915855754,7.421476355247985
2093,1,150,0,0,2.0,0,4,6,2,0.0098,0.84,204,0.17,1.67,1,2,0,0.0,0.23117200915855754,7.421476355247985
2094,1,41,0,0,5.0,0,4,7,0,0.0,0.0,107,0.0,0.0,1,2,0,0.0,0.23117200915855754,0.017456630531522195
2095,1,41,0,0,5.0,0,4,7,4,0.0059,0.23,678,0.19,0.93,1,2,0,0.0,0.23117200915855754,14.74322884012539
2096,1,41,0,0,5.0,0,4,7,7,0.0263,0.78,266,0.68,5.46,1,2,0,0.0,38.62744338933529,19.66085314685316
2097,1,41,0,0,5.0,0,4,7,8,0.0137,0.16,582,0.16,1.24,1,2,0,0.0,0.23117200915855754,14.74322884012539
2098,0,111,0,0,2.0,0,0,15,10,0.0124,0.37,807,0.34,3.7,1,3,0,62.35,38.62744338933529,19.66085314685316
2099,0,111,0,0,2.0,0,0,15,2,0.0256,0.19,78,0.19,0.38,1,3,0,0.04,0.23117200915855754,0.017456630531522195
2100,0,111,0,0,2.0,0,0,15,0,0.0,0.0,92,0.0,0.0,1,3,0,0.0,0.23117200915855754,0.017456630531522195
2101,0,111,0,0,2.0,0,0,15,3,0.0074,0.12,408,0.09,0.37,1,3,0,0.0,0.23117200915855754,0.017456630531522195
2102,0,111,0,0,2.0,0,0,15,5,0.0038,0.28,1329,0.23,1.4,1,3,0,0.0,0.23117200915855754,7.421476355247985
2103,0,111,0,0,2.0,0,0,15,0,0.0,0.0,55,0.0,0.0,1,3,0,0.0,0.23117200915855754,0.017456630531522195
2104,1,82,0,0,0.5,0,4,6,0,0.0,0.0,95,0.0,0.0,3,0,0,0.0,0.23117200915855754,0.017456630531522195
2105,2,152,0,0,5.0,0,5,12,19,0.0070999999999999995,0.1,2666,0.1,1.83,3,7,0,45.85,0.23117200915855754,14.74322884012539
2106,2,152,0,0,5.0,0,5,12,24,0.0103,0.09,2319,0.09,2.23,3,7,0,14.85,0.23117200915855754,14.74322884012539
