Day,Campaign status,Campaign,Budget name,Currency code,Budget,Budget type,Status,Status reasons,Clicks,CTR,Avg. CPC,Impr.,Avg. cost,Cost,Conv. value,Campaign type,Bid strategy type,Campaign group
2024-04-11,Enabled,Shoptimised | Incremental | Performance Max,--,GBP,30,Daily,Eligible (Limited),limited by budget; unknown,53,1.10%,0.27,4808,0.27,14.46,106.68,Performance Max,Maximize Conversion Value,--
2023-12-12,Enabled,Shoptimised | Incremental | Performance Max,--,GBP,30,Daily,Eligible (Limited),limited by budget; unknown,87,1.08%,0.28,8037,0.28,24.22,215.92,Performance Max,Maximize Conversion Value,--
2024-02-16,Enabled,Shoptimised | Incremental | Performance Max,--,GBP,30,Daily,Eligible (Limited),limited by budget; unknown,124,0.84%,0.36,14782,0.36,44.23,196.4,Performance Max,Maximize Conversion Value,--
2024-02-25,Enabled,Shoptimised | Incremental | Performance Max,--,GBP,30,Daily,Eligible (Limited),limited by budget; unknown,260,1.01%,0.32,25752,0.32,82.62,164.08,Performance Max,Maximize Conversion Value,--
2024-01-09,Enabled,Shoptimised | Incremental | Performance Max,--,GBP,30,Daily,Eligible (Limited),limited by budget; unknown,92,0.84%,0.35,10891,0.35,32.16,136.56,Performance Max,Maximize Conversion Value,--
2024-03-13,Enabled,Shoptimised | Incremental | Performance Max,--,GBP,30,Daily,Eligible (Limited),limited by budget; unknown,192,1.01%,0.38,19063,0.38,73.86,206.15,Performance Max,Maximize Conversion Value,--
2024-01-21,Enabled,Shoptimised | Incremental | Performance Max,--,GBP,30,Daily,Eligible (Limited),limited by budget; unknown,170,1.01%,0.26,16769,0.26,44.15,265.59,Performance Max,Maximize Conversion Value,--
2024-02-11,Enabled,Shoptimised | Incremental | Performance Max,--,GBP,30,Daily,Eligible (Limited),limited by budget; unknown,125,0.96%,0.33,13021,0.33,40.64,158.1,Performance Max,Maximize Conversion Value,--
2024-02-07,Enabled,Shoptimised | Incremental | Performance Max,--,GBP,30,Daily,Eligible (Limited),limited by budget; unknown,121,1.03%,0.3,11802,0.3,36.84,311.4,Performance Max,Maximize Conversion Value,--
2024-04-17,Enabled,Shoptimised | Incremental | Performance Max,--,GBP,30,Daily,Eligible (Limited),limited by budget; unknown,88,0.89%,0.37,9874,0.37,32.61,23.97,Performance Max,Maximize Conversion Value,--
2024-02-01,Enabled,Shoptimised | Incremental | Performance Max,--,GBP,30,Daily,Eligible (Limited),limited by budget; unknown,151,0.93%,0.27,16283,0.27,40.19,227,Performance Max,Maximize Conversion Value,--
2024-05-01,Enabled,Shoptimised | Incremental | Performance Max,--,GBP,30,Daily,Eligible (Limited),limited by budget; unknown,97,1.10%,0.29,8852,0.29,28.13,112.76,Performance Max,Maximize Conversion Value,--
2023-12-06,Enabled,Shoptimised | Incremental | Performance Max,--,GBP,30,Daily,Eligible (Limited),limited by budget; unknown,115,0.99%,0.27,11607,0.27,31.05,286.95,Performance Max,Maximize Conversion Value,--
